 Frame Index, Frame Time (ms)
1,46.8534
2,47.2055
3,46.8247
4,44.9761
5,48.8644
6,46.1093
7,39.6367
8,41.8707
9,42.1143
10,41.0996
11,42.8837
12,43.3745
13,41.9214
14,44.5826
15,43.6277
16,41.5491
17,44.9346
18,52.103
19,47.1366
20,47.9308
21,46.402
22,58.9643
23,44.0973
24,41.5174
25,47.3283
26,56.8306
27,46.4727
28,44.79
29,47.289
30,45.532
31,39.3875
32,40.0346
33,41.2049
34,40.362
35,40.0106
36,40.5409
37,40.4164
38,46.9553
39,42.4071
40,41.9417
41,40.4782
42,47.5383
43,41.5529
44,46.0989
45,48.02311
46,39.4598
47,42.9952
48,37.7096
49,37.4416
50,39.4759
51,42.2922
52,40.4159
53,42.4072
54,42.5351
55,40.0092
56,41.3127
57,46.489
58,41.1552
59,39.7229
60,46.3155
61,42.4106
62,39.5261
63,41.8854
64,40.4941
65,44.0431
66,38.8237
67,39.8382
68,48.4166
69,40.5388
70,41.5453
71,50.50911
72,54.1205
73,50.8417
74,47.2807
75,43.0535
76,46.6496
77,40.2493
78,43.2528
79,40.3504
80,41.5039
81,43.3051
82,40.8926
83,40.9504
84,39.9855
85,43.2728
86,39.5714
87,41.7036
88,38.8473
89,39.4638
90,39.6208
91,46.1607
92,43.6679
93,40.4459
94,41.0199
95,43.9255
96,39.1544
97,39.824
98,43.8592
99,43.118
100,39.4969
101,40.2133
102,42.2578
103,39.5329
104,41.7079
105,40.1767
106,43.2628
107,46.0844
108,40.8585
109,39.3578
110,40.6053
111,42.2306
112,42.3617
113,43.5061
114,41.4864
115,41.2723
116,46.6909
117,43.9175
118,39.8546
119,40.8438
120,45.8012
121,40.8601
122,43.991
123,50.4374
124,38.7588
125,38.5173
126,39.9511
127,41.2191
128,40.3516
129,39.0056
130,40.2375
131,46.8405
132,41.0223
133,41.7878
134,41.9386
135,39.969
136,39.0268
137,45.8572
138,42.562
139,46.3573
140,40.1134
141,42.8628
142,42.3413
143,45.0231
144,48.5665
145,42.0117
146,42.8207
147,39.4301
148,39.6073
149,39.6762
150,40.4339
151,39.7468
152,38.7843
153,46.48211
154,46.4358
155,39.92
156,41.909
157,46.7338
158,41.3884
159,41.8696
160,40.56561
161,41.2969
162,46.9632
163,51.3204
164,39.9086
165,41.9763
166,40.7558
167,41.0723
168,40.7909
169,39.2359
170,40.3666
171,38.3367
172,42.1498
173,38.7158
174,38.6663
175,39.7129
176,41.8631
177,40.025
178,44.3953
179,47.999
180,38.9041
181,38.3204
182,46.2719
183,44.4697
184,40.3118
185,42.6791
186,46.4362
187,42.9537
188,38.0124
189,38.2571
190,41.1196
191,38.5086
192,43.1812
193,39.9643
194,45.8797
195,39.7769
196,40.6567
197,41.5237
198,38.9807
199,40.1238
200,40.5047
201,41.0181
202,37.5871
203,39.9511
204,39.9986
205,37.5768
206,42.431
207,44.3317
208,45.0632
209,43.2519
210,41.8043
211,49.3906
212,39.6545
213,40.3441
214,39.9124
215,48.5947
216,38.8896
217,38.473
218,39.5718
219,39.6701
220,45.5445
221,46.0213
222,42.5938
223,40.3901
224,41.7714
225,41.6425
226,43.0671
227,40.7045
228,41.59311
229,48.2088
230,47.3994
231,41.53761
232,48.5304
233,45.8089
234,50.3047
235,38.9548
236,38.7173
237,40.463
238,46.7332
239,47.4617
240,39.0211
241,39.1259
242,46.081
243,38.0174
244,37.3386
245,37.8838
246,38.6659
247,39.9705
248,39.5244
249,40.8778
250,42.4097
251,45.3132
252,37.8398
253,38.4412
254,38.877
255,38.8572
256,40.022
257,42.1952
258,45.187
259,49.0617
260,39.9039
261,40.7106
262,42.1182
263,48.599
264,39.8078
265,38.7383
266,45.4501
267,38.7737
268,45.8319
269,70.6129
270,66.33051
271,48.4934
272,38.9503
273,39.5249
274,41.8047
275,42.8338
276,43.5746
277,42.2485
278,44.0032
279,43.381
280,43.7062
281,48.4544
282,44.3536
283,38.9186
284,40.5541
285,45.3632
286,41.5641
287,41.1977
288,38.9244
289,40.6867
290,45.4238
291,38.8019
292,44.0847
293,38.2156
294,43.1364
295,46.3309
296,39.8918
297,38.9318
298,47.7815
299,45.483
