Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms),,,,Perlin Game Object,Perlin ECS,perlin ECS + Jobs,Perlin ECS + Jobs & Burst
0,1,0.543,0,,,,97.79,37.71,1.61,1.85
1,2,0.5634,0.543000042,,,,,,,
2,3,0.5926,1.106400073,,,,,,,
3,4,0.5501,1.699000061,,,,,,,
4,5,0.5694001,2.249100089,,,,,,,
5,6,0.5772001,2.818500161,,,,,,,
6,7,0.5818,3.395700216,,,,,,,
7,8,0.5281,3.97750026,,,,,,,
8,9,0.551,4.505600274,,,,,,,
9,10,0.5995,5.056600273,,,,,,,
10,11,0.5787001,5.656100273,,,,,,,
11,12,0.5179,6.234800339,,,,,,,
12,13,0.5761,6.752700388,,,,,,,
13,14,0.7152001,7.32880038,,,,,,,
14,15,0.7415,8.044000447,,,,,,,
15,16,0.6527001,8.785500467,,,,,,,
16,17,0.6437001,9.438200533,,,,,,,
17,18,0.6717001,10.0819006,,,,,,,
18,19,0.7154,10.75360066,,,,Boid Game Object,Boid ECS,Boid ECS + Jobs,Boid ECS + Jobs & Burst
19,20,0.6257001,11.4690007,,,,3.92,3.41,3.32,0.96
20,21,0.5725001,12.09470075,,,,,,,
21,22,3.3569,12.6672008,,,,,,,
22,23,0.4596,16.02410078,,,,,,,
23,24,0.5734001,16.48370081,,,,,,,
24,25,0.7239001,17.05710089,,,,,,,
25,26,0.3955,17.78100097,,,,,,,
26,27,0.4199,18.17650098,,,,,,,
27,28,0.4278,18.59640098,,,,,,,
28,29,0.364,19.02420098,,,,,,,
29,30,0.3604,19.388201,,,,,,,
30,31,0.3588,19.74860102,,,,,,,
31,32,0.3625,20.10740101,,,,,,,
32,33,0.4072,20.46990103,,,,,,,
33,34,0.4144,20.87710106,,,,,,,
34,35,0.4564,21.29150108,,,,,,,
35,36,0.4389,21.74790108,,,,,,,
36,37,0.3847,22.18680111,,,,,,,
37,38,0.3653,22.57150114,,,,,,,
38,39,1.4568,22.93680114,,,,,,,
39,40,0.7044001,24.39360124,,,,,,,
40,41,0.4831,25.0980013,,,,,,,
41,42,0.4798,25.58110133,,,,,,,
42,43,0.4442,26.06090134,,,,,,,
43,44,0.5469,26.50510138,,,,,,,
44,45,0.5048,27.05200142,,,,,,,
45,46,0.5199,27.55680144,,,,,,,
46,47,0.5978,28.07670146,,,,,,,
47,48,0.5216,28.67450148,,,,,,,
48,49,0.4289,29.19610149,,,,,,,
49,50,3.0986,29.62500149,,,,,,,
50,51,0.3959,32.72360164,,,,,,,
51,52,0.3886,33.11950165,,,,,,,
52,53,0.3957,33.50810167,,,,,,,
53,54,0.4052,33.90380171,,,,,,,
54,55,0.3789,34.30900174,,,,,,,
55,56,0.3703,34.68790177,,,,,,,
56,57,0.3683,35.05820176,,,,,,,
57,58,0.3728,35.42650175,,,,,,,
58,59,0.3871,35.79930174,,,,,,,
