 Frame Index, Frame Time (ms)
1,40.1875
2,39.5789
3,39.6342
4,40.2534
5,39.0483
6,39.2706
7,40.5066
8,40.5332
9,39.0189
10,41.4939
11,40.7456
12,42.0876
13,38.9837
14,40.9024
15,38.8709
16,41.0949
17,40.0359
18,39.0144
19,40.1282
20,39.2135
21,41.8142
22,43.8806
23,40.0804
24,40.1479
25,39.1588
26,39.8353
27,41.0038
28,40.0579
29,39.4063
30,39.7202
31,38.9925
32,45.9522
33,42.8898
34,39.4034
35,39.1573
36,43.0551
37,41.8356
38,39.444
39,40.9879
40,40.3262
41,39.1132
42,40.4062
43,40.5344
44,39.5347
45,42.4613
46,39.0767
47,39.3209
48,39.5128
49,39.2326
50,39.4898
51,39.5498
52,38.8757
53,39.2438
54,38.738
55,39.634
56,41.0455
57,40.4403
58,41.6859
59,42.4826
60,40.1242
61,40.511
62,39.85
63,40.4042
64,39.0663
65,39.0447
66,38.6499
67,39.3271
68,39.0959
69,38.9507
70,40.5093
71,42.245
72,40.5005
73,40.8434
74,39.182
75,38.8831
76,40.8248
77,43.0224
78,39.4836
79,41.7231
80,40.6367
81,40.2178
82,42.1275
83,44.0035
84,39.8304
85,40.2032
86,41.982
87,39.7995
88,40.0688
89,43.7575
90,41.82211
91,39.582
92,41.9033
93,40.3243
94,40.6526
95,39.9158
96,41.5766
97,43.4339
98,42.8071
99,45.5331
100,44.5002
101,39.9273
102,42.2927
103,39.7277
104,39.0507
105,42.5038
106,39.7258
107,40.6916
108,39.4651
109,38.7713
110,41.7195
111,40.2552
112,38.964
113,40.5808
114,40.3896
115,40.6027
116,41.4008
117,41.102
118,39.5377
119,39.0934
120,40.2616
121,39.5039
122,41.87811
123,40.3277
124,39.0708
125,39.2648
126,39.3713
127,46.6258
128,40.3743
129,39.7883
130,46.2388
131,41.4919
132,44.4011
133,40.8153
134,38.8981
135,42.8606
136,41.05
137,39.2952
138,38.8345
139,38.6973
140,39.3778
141,39.3578
142,41.0457
143,39.7259
144,40.6462
145,39.501
146,39.1775
147,41.1986
148,39.7648
149,39.4025
150,39.7106
151,39.844
152,39.8147
153,39.1592
154,39.6762
155,39.79
156,42.6005
157,39.4672
158,39.2627
159,38.9988
160,38.9175
161,39.2246
162,39.1502
163,41.5393
164,39.6889
165,39.2487
166,40.2986
167,39.1789
168,39.2517
169,40.0661
170,40.4922
171,42.7855
172,39.6418
173,40.2919
174,39.3091
175,41.3729
176,39.0785
177,39.4446
178,40.3356
179,41.3465
180,41.5538
181,39.1456
182,41.3666
183,42.5014
184,39.8252
185,39.3583
186,39.528
187,39.1145
188,39.9496
189,39.2449
190,39.1469
191,39.5803
192,38.7759
193,40.0944
194,39.3577
195,39.2712
196,40.3563
197,39.0434
198,39.4397
199,39.9924
200,40.3547
201,39.172
202,40.6052
203,40.0203
204,41.352
205,39.4259
206,40.9376
207,41.5688
208,40.1695
209,39.9902
210,39.4085
211,39.6049
212,40.1075
213,42.734
214,40.1206
215,41.1822
216,39.3428
217,39.4569
218,39.15561
219,40.6373
220,41.3677
221,41.5282
222,39.6697
223,40.3281
224,41.5234
225,39.482
226,39.7133
227,39.371
228,39.6748
229,41.6956
230,39.6183
231,38.7997
232,42.3663
233,41.6519
234,41.6099
235,42.7677
236,41.2135
237,39.4346
238,38.9205
239,40.4431
240,39.7762
241,39.8192
242,39.4923
243,41.8391
244,40.581
245,39.8969
246,39.8805
247,41.4044
248,39.66961
249,40.07261
250,41.6415
251,39.5914
252,39.8246
253,39.8617
254,40.9333
255,41.8649
256,41.7849
257,41.2798
258,40.9959
259,41.2098
260,39.2819
261,38.6719
262,40.1565
263,40.9132
264,39.3564
265,39.8252
266,38.847
267,41.6527
268,39.0937
269,42.7519
270,41.533
271,39.482
272,39.8922
273,39.4176
274,38.7852
275,40.1316
276,43.3613
277,39.0364
278,39.7616
279,39.4368
280,40.8737
281,40.726
282,42.2045
283,41.7909
284,39.7232
285,39.0159
286,39.6171
287,40.5558
288,40.5228
289,40.422
290,39.4626
291,41.4132
292,39.9983
293,40.5156
294,43.4048
295,39.7698
296,39.9926
297,39.3234
298,39.4466
299,40.4921
