Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
0,1,0.5323,0
1,2,0.4637,0.532299995422363
2,3,0.3799,0.996000021696091
3,4,0.3445,1.37590003013611
4,5,0.3385,1.72040003538132
5,6,0.3373,2.0589000582695
6,7,0.3723,2.39620006084442
7,8,0.3829,2.76850005984306
8,9,0.3518,3.15140005946159
9,10,0.3398,3.5032000541687
10,11,0.3407,3.84300005435944
11,12,0.5432,4.18370008468628
12,13,0.6189001,4.72690010070801
13,14,0.5713,5.34580016136169
14,15,0.4742,5.91710019111633
15,16,0.3999,6.39130023121834
16,17,0.3808,6.79120025038719
17,18,0.3585,7.172000259161
18,19,0.3435,7.53050026297569
19,20,0.3568,7.8740002810955
20,21,0.3441,8.23080027103424
21,22,0.3903,8.57490029931068
22,23,0.4178,8.96520030498505
23,24,0.4502,9.38300031423569
24,25,0.3917,9.83320033550262
25,26,4.3533,10.2249003648758
26,27,0.3392,14.5782004594803
27,28,0.3357,14.9174004793167
28,29,0.3376,15.2531005144119
29,30,0.3549,15.5907005369663
30,31,0.364,15.9456005394459
31,32,0.3622,16.3096005618572
32,33,0.3623,16.671800583601
33,34,0.3826,17.0341005921364
34,35,0.3296,17.4167006015778
35,36,0.3774,17.746300637722
36,37,0.355,18.1237006485462
37,38,0.3695,18.4787006676197
38,39,0.3571,18.8482006788254
39,40,0.7285,19.2053006887436
40,41,0.5931,19.9338006973267
41,42,0.5799,20.5269007086754
42,43,0.5257,21.1068007349968
43,44,0.557,21.6325007677078
44,45,0.5289,22.1895008087158
45,46,0.4813,22.7184008359909
46,47,0.604,23.1997008323669
47,48,0.5965,23.803700864315
48,49,0.5078,24.4002009034157
49,50,0.5287001,24.9080008864403
50,51,0.5291,25.4367009401321
51,52,0.5155,25.9658009409904
52,53,0.4283,26.4813009500504
53,54,4.3514,26.909600943327
54,55,0.5647001,31.261000841856
55,56,0.496,31.8257009088993
56,57,0.3994,32.3217009305954
57,58,0.4826,32.7211009562016
58,59,0.439,33.2037009894848
59,60,0.4164,33.6427009999752
60,61,0.4983,34.0591010153294
61,62,0.4627,34.5574010312557
62,63,0.7271,35.0201010704041
63,64,0.7069001,35.7472010850906
64,65,0.675,36.4541011452675
65,66,0.7109001,37.1291011571884
66,67,0.7138,37.8400012254715
67,68,0.7815,38.5538012385368
68,69,0.8438,39.3353012800217
69,70,0.6883,40.1791012883186
70,71,0.6137,40.8674013018608
71,72,0.8582001,41.481101334095
72,73,0.7848001,42.3393014073372
73,74,0.4578,43.12410145998
74,75,4.4288,43.581901460886
75,76,0.4169,48.0107015669346
76,77,0.3704,48.4276015758514
77,78,0.3686,48.7980015873909
78,79,0.3499,49.1666015982628
79,80,0.3918,49.5165016055107
80,81,0.4793,49.9083016216755
81,82,0.5525,50.3876016438007
82,83,0.7034001,50.9401016533375
83,84,0.5662,51.6435017287731
84,85,0.4091,52.2097017467022
85,86,0.3818,52.6188017725945
86,87,0.379,53.0006017684937
87,88,0.3593,53.3796017765999
88,89,0.3398,53.7389017939568
89,90,0.4832,54.0787017941475
90,91,0.5092,54.5619018375874
91,92,0.4695,55.0711018741131
92,93,0.4252,55.5406019091606
93,94,0.4251,55.9658019542694
94,95,0.3994,56.3909019827843
95,96,0.3992,56.7903020083904
96,97,0.3914,57.189502030611
97,98,0.3596,57.5809020400047
98,99,0.3694,57.9405020773411
99,100,0.3477,58.3099021017551
100,101,0.3384,58.6576021313667
101,102,0.3709,58.996002137661
102,103,0.3473,59.3669021427631
103,104,0.385,59.7142021358013
104,105,4.408,60.0992021560669
105,106,0.3255,64.5072021484375
106,107,0.3875,64.8327021598816
107,108,0.4063,65.220202177763
108,109,0.3036,65.62650218606
109,110,0.3211,65.930102199316
110,111,0.3368,66.2512022256851
111,112,0.3522,66.5880022346973
112,113,0.3632,66.9402022659779
113,114,0.3234,67.3034023046494
114,115,0.3102,67.6268023252487
115,116,0.3768,67.9370023608208
116,117,0.3796,68.3138023614883
117,118,0.3542,68.6934023797512
118,119,0.4436,69.0476024150848
119,120,0.3172,69.4912024438381
120,121,0.3719,69.8084024786949
121,122,1.2641,70.1803025007248
122,123,319.1531,71.4444025754929
123,124,57.1167,390.597509264946
124,125,42.5028,447.714212298393
125,126,44.3145,490.217016100883
126,127,40.5055,534.531518816948
127,128,38.9627,575.037019610405
128,129,40.3709,613.999719500542
129,130,42.2901,654.370618700981
130,131,45.62811,696.660722613335
131,132,50.3178,742.288827776909
132,133,40.3309,792.606630206108
133,134,43.788,832.937532305717
134,135,41.5351,876.725534319878
135,136,42.6049,918.260637164116
136,137,45.6896,960.865537524223
137,138,47.6889,1006.55513942242
138,139,42.2035,1054.24403941631
139,140,40.1364,1096.44754207134
140,141,39.7378,1136.58394420147
141,142,43.036,1176.32174861431
142,143,43.8982,1219.3577517271
143,144,42.5289,1263.25595271587
144,145,40.4415,1305.78485286236
145,146,39.7335,1346.22635447979
146,147,41.9675,1385.95985591412
147,148,42.4232,1427.92735850811
148,149,46.37111,1470.35056102276
149,150,44.299,1516.72166621685
150,151,50.9216,1561.02066981792
151,152,44.0709,1611.94227397442
152,153,43.5172,1656.0131739378
153,154,41.5682,1699.53037440777
154,155,43.5782,1741.09857738018
155,156,41.4916,1784.67677867413
156,157,41.8933,1826.16838252544
157,158,40.5242,1868.06168544292
158,159,40.9442,1908.58588588238
159,160,45.7465,1949.53008830547
160,161,44.932,1995.27659022808
161,162,43.9305,2040.20859324932
162,163,40.5103,2084.13909709454
163,164,40.6797,2124.64940059185
164,165,42.5903,2165.32910335064
165,166,44.1633,2207.91940486431
166,167,40.1829,2252.08270823956
167,168,43.6505,2292.26560771465
168,169,39.0579,2335.91610896587
169,170,39.0181,2374.97400844097
170,171,39.53061,2413.99211299419
171,172,41.5645,2453.52271831036
172,173,39.017,2495.08722102642
173,174,43.0905,2534.10422313213
174,175,41.8782,2577.19472682476
175,176,48.4292,2619.07292735577
176,177,49.5464,2667.50213038921
177,178,41.1847,2717.04853236675
178,179,40.7495,2758.23323237896
179,180,45.7536,2798.98273265362
180,181,43.275,2844.73633754253
181,182,40.2127,2888.01133906841
182,183,42.1835,2928.22403895855
183,184,40.5772,2970.40754115582
184,185,44.764,3010.98474299908
185,186,46.5829,3055.74874675274
186,187,45.8616,3102.33164775372
187,188,51.1259,3148.19325053692
188,189,44.666,3199.31915080547
189,190,41.6576,3243.98515117168
190,191,46.9167,3285.64275538921
191,192,42.8363,3332.55945765972
192,193,46.487,3375.39576137066
193,194,43.9172,3421.88276469707
194,195,43.1081,3465.79996669292
195,196,42.8582,3508.90807139874
196,197,42.0293,3551.76627147198
197,198,44.8826,3593.79557597637
198,199,41.0227,3638.67817866802
199,200,44.4206,3679.70087993145
200,201,46.9622,3724.12148463726
201,202,40.7941,3771.08368480206
202,203,39.8732,3811.87778651714
203,204,43.4793,3851.75098598003
204,205,39.4325,3895.23028743267
205,206,44.2377,3934.66279017925
206,207,46.4603,3978.90049159527
207,208,42.148,4025.36079585552
208,209,43.3598,4067.50879848003
209,210,41.958,4110.86860072613
210,211,39.1456,4152.82660090923
211,212,39.5364,4191.97220408916
212,213,42.635,4231.50860393047
213,214,41.3008,4274.1436060667
214,215,39.479,4315.44441020489
215,216,40.3085,4354.92341029644
216,217,39.4395,4395.23191249371
217,218,41.5373,4434.67141520977
218,219,39.1237,4476.20871913433
219,220,39.5567,4515.33241832256
220,221,40.061,4554.88911998272
221,222,40.073,4594.95012080669
222,223,41.8585,4635.02312266827
223,224,40.8809,4676.88162410259
224,225,42.5268,4717.76252543926
225,226,41.2706,4760.28932750225
226,227,39.6317,4801.55993068218
227,228,39.6352,4841.19163310528
228,229,39.7697,4880.82683360577
229,230,40.221,4920.59653651714
230,231,40.9041,4960.81753718853
231,232,43.3869,5001.72163951397
232,233,42.489,5045.10854136944
233,234,39.0387,5087.59754359722
234,235,39.6462,5126.63624370098
235,236,39.2907,5166.28244578838
236,237,40.7871,5205.57314860821
237,238,40.4506,5246.36025035381
238,239,40.5605,5286.81085383892
239,240,40.4435,5327.37135493755
240,241,38.8739,5367.81485545635
241,242,39.5089,5406.68875682354
242,243,39.5935,5446.19765651226
243,244,41.0173,5485.79115855694
244,245,39.0568,5526.80846202374
245,246,39.6743,5565.86526286602
246,247,39.0932,5605.53956401348
247,248,39.8381,5644.63276469707
248,249,45.5614,5684.47086894512
249,250,42.3324,5730.03227031231
250,251,41.6061,5772.36467158794
251,252,40.0013,5813.97077357769
252,253,40.1719,5853.97207438946
253,254,42.6047,5894.14397609234
254,255,41.722,5936.74867808819
