 Frame Index, Frame Time (ms)
1,41.635
2,44.9554
3,39.974
4,43.2419
5,40.454
6,40.0745
7,41.7104
8,41.9773
9,45.3369
10,47.7489
11,40.5946
12,41.7786
13,42.80811
14,41.3935
15,39.7589
16,38.6821
17,40.1916
18,46.1385
19,46.3052
20,45.2423
21,41.4643
22,43.1672
23,38.8563
24,38.4543
25,40.1813
26,41.7672
27,44.2372
28,41.5688
29,42.5145
30,41.5445
31,43.8059
32,40.5081
33,41.59
34,42.5128
35,39.6344
36,45.9161
37,40.0098
38,40.9752
39,40.4768
40,38.2742
41,39.0864
42,46.3125
43,45.7072
44,47.0877
45,44.3153
46,43.2641
47,40.0599
48,39.6495
49,43.5591
50,41.6937
51,42.302
52,41.6582
53,39.2417
54,41.9678
55,41.7945
56,42.1413
57,40.7624
58,46.549
59,42.2134
60,41.7569
61,40.5876
62,39.8332
63,39.1234
64,40.1366
65,42.4451
66,46.6469
67,45.9205
68,42.9216
69,42.2
70,43.9292
71,37.9023
72,40.1778
73,39.952
74,43.9644
75,46.7821
76,44.8904
77,43.2647
78,41.6293
79,41.3622
80,40.237
81,41.3773
82,43.06511
83,40.6963
84,41.8401
85,38.7267
86,38.7093
87,38.892
88,38.8946
89,45.3446
90,45.6734
91,43.5795
92,43.6572
93,44.4851
94,43.7089
95,41.4973
96,41.581
97,44.747
98,42.1948
99,43.1838
100,42.2776
101,41.0094
102,41.1801
103,42.8083
104,40.7866
105,45.0957
106,45.3412
107,42.8927
108,43.5204
109,40.1365
110,40.5713
111,39.4951
112,41.3682
113,45.9929
114,46.0832
115,44.9595
116,41.4259
117,42.9618
118,43.827
119,41.0404
120,42.7618
121,48.8007
122,43.2644
123,40.3762
124,43.9216
125,41.5945
126,41.3727
127,40.3657
128,43.0773
129,46.7084
130,39.915
131,42.0042
132,45.2211
133,39.2798
134,40.3281
135,39.9566
136,46.9907
137,47.2694
138,49.0363
139,39.9876
140,40.0466
141,42.0622
142,40.062
143,39.1162
144,40.314
145,41.8408
146,43.2222
147,41.8717
148,40.6765
149,41.7077
150,42.4107
151,39.7986
152,43.358
153,43.4449
154,43.1453
155,42.6148
156,39.7128
157,39.5123
158,39.9802
159,41.5098
160,46.004
161,47.376
162,45.9773
163,47.0126
164,46.8092
165,40.7403
166,39.8635
167,40.3332
168,40.7204
169,40.7877
170,41.9435
171,39.7595
172,41.66961
173,42.8078
174,43.8225
175,41.4321
176,42.7744
177,42.1702
178,41.7854
179,42.4428
180,41.6242
181,39.9453
182,39.0275
183,42.5735
184,45.3794
185,46.7259
186,46.2782
187,38.9696
188,41.939
189,40.7292
190,39.068
191,39.92661
192,40.063
193,40.2499
194,41.4685
195,40.4917
196,40.0244
197,47.1559
198,41.394
199,41.8325
200,40.2061
201,43.5924
202,41.4181
203,40.9804
204,40.2903
205,40.1817
206,39.5281
207,44.816
208,48.2914
209,48.312
210,41.9048
211,38.6442
212,43.8795
213,40.4507
214,39.5508
215,40.3183
216,39.2261
217,40.6494
218,40.4226
219,41.3898
220,42.7121
221,42.6506
222,43.4148
223,41.4938
224,41.4642
225,43.2701
226,39.9835
227,42.2628
228,40.5577
229,39.173
230,40.2325
231,45.4125
232,47.608
233,43.80811
234,44.0876
235,43.6244
236,46.0007
237,40.9805
238,44.6155
239,39.8067
240,44.3416
241,40.2864
242,39.8759
243,42.493
244,42.042
245,41.8958
246,40.8046
247,42.8616
248,43.341
249,41.1449
250,40.39161
251,42.718
252,39.1363
253,39.4027
254,38.6687
255,45.866
256,46.6097
257,46.9758
258,39.9213
259,40.6945
260,39.933
261,41.8679
262,38.752
263,40.6178
264,41.4827
265,42.3993
266,43.3304
267,40.907
268,40.5562
269,41.6468
270,45.9991
271,38.9503
272,43.7859
273,44.2783
274,41.2827
275,42.3459
276,40.4462
277,40.74
278,43.7202
279,46.6526
280,48.1076
281,45.2734
282,41.8107
283,38.4691
284,41.4652
285,40.189
286,40.1135
287,41.5057
288,40.7845
289,41.5064
290,41.7977
291,42.548
292,41.9822
293,48.0403
294,41.271
295,41.5683
296,44.0505
297,42.5009
298,42.0772
299,39.85
