Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
0,1,0.4221,0
1,2,0.693,0.422100037336349
2,3,0.5419,1.115100055933
3,4,0.4873,1.65700009465218
4,5,0.4675,2.14430010318756
5,6,0.4272,2.61180013418198
6,7,0.455,3.03900015354156
7,8,0.4222,3.49400016665459
8,9,0.4405,3.91620019078255
9,10,0.561,4.35670021176338
10,11,3.6769,4.91770026087761
11,12,0.5,8.59460040926933
12,13,0.3701,9.09460040926933
13,14,0.3374,9.46470043063164
14,15,0.388,9.80210044980049
15,16,0.3846,10.1901004612446
16,17,0.4042,10.5747004747391
17,18,0.3322,10.9789004921913
18,19,0.3856,11.311100512743
19,20,0.3486,11.6967005431652
20,21,0.3371,12.0453005731106
21,22,0.3332,12.3824006021023
22,23,0.3335,12.7156006395817
23,24,0.3275,13.0491006672382
24,25,0.3261,13.3766006827354
25,26,0.331,13.7027007043362
26,27,0.3667,14.0337007343769
27,28,0.3773,14.4004007577896
28,29,0.3618,14.7777007520199
29,30,0.358,15.1395007669926
30,31,0.3411,15.4975007772446
31,32,0.4511,15.8386008143425
32,33,0.7552,16.2897008359432
33,34,0.8424001,17.0449008643627
34,35,1.229,17.8873009383678
35,36,0.5498,19.1163010299206
36,37,0.4601,19.6661010682583
37,38,0.4942,20.1262010931969
38,39,0.4962,20.6204011142254
39,40,0.421,21.116601139307
40,41,0.5301,21.537601172924
41,42,3.1668,22.0677011609077
42,43,0.491,25.2345014214516
43,44,0.4307,25.725501447916
44,45,0.4736,26.1562014818192
45,46,0.4765,26.6298015117645
46,47,0.5201,27.1063015460968
47,48,0.4982,27.6264015436172
48,49,0.4303,28.124601572752
49,50,0.5508,28.5549015700817
50,51,0.4689,29.1057015955448
51,52,0.5799,29.5746016204357
52,53,0.5681,30.1545016467571
53,54,0.5219001,30.7226016223431
54,55,0.527,31.2445016801357
55,56,0.6292,31.7715016901493
56,57,0.5679001,32.4007017314434
57,58,0.5891,32.9686017930508
58,59,0.6336,33.5577017962933
59,60,0.5798,34.19130179286
60,61,0.6778,34.7711018025875
61,62,0.5420001,35.4489018023014
62,63,0.5548,35.9909018576145
63,64,0.5715,36.5457018911839
64,65,0.5779001,37.1172018945217
65,66,0.55,37.6951019465923
66,67,0.5031,38.2451019585133
67,68,3.235,38.748201996088
68,69,0.5502,41.9832021296024
69,70,0.5364,42.5334021747112
70,71,0.5425,43.0698021948338
71,72,0.526,43.6123022139072
72,73,0.5167,44.1383022367954
73,74,0.5412,44.6550022661686
74,75,0.5193,45.1962023079395
75,76,0.5152,45.7155022919178
76,77,0.5797001,46.2307023108006
77,78,0.8309001,46.8104023635387
78,79,0.8045,47.6413024365902
79,80,0.7288,48.4458024799824
80,81,0.6133,49.1746024787426
81,82,0.5721,49.7879025042057
82,83,0.6203,50.3600024878979
83,84,0.5557001,50.9803024828434
84,85,0.5769001,51.5360025465488
85,86,0.694,52.1129026114941
86,87,0.6691,52.8069026172161
87,88,0.6764001,53.4760026037693
88,89,0.544,54.1524026691914
89,90,0.5115,54.6964026987553
90,91,3.4037,55.2079026997089
91,92,0.4422,58.6116028130054
92,93,0.402,59.0538028478622
93,94,0.3778,59.4558028578758
94,95,0.4018,59.8336028754711
95,96,0.3793,60.2354028820992
96,97,0.5034,60.6147028803825
97,98,0.7562001,61.1181029081345
98,99,0.5736,61.874302983284
99,100,0.4945,62.4479029774666
100,101,0.5821,62.9424029886723
101,102,0.4805,63.5245029628277
102,103,0.3767,64.0050029754639
103,104,0.3737,64.3817030191422
104,105,0.3691,64.7554030418396
105,106,0.3846,65.1245030760765
106,107,0.3693,65.509103089571
107,108,0.3656,65.8784030973911
108,109,0.3756,66.2440031170845
109,110,0.3711,66.6196031272411
110,111,0.3679,66.9907031655312
111,112,0.3677,67.3586031794548
