 Frame Index, Frame Time (ms)
1,46.3749
2,41.0752
3,42.4809
4,45.9834
5,42.1939
6,44.5686
7,44.4285
8,41.8697
9,42.921
10,43.9168
11,46.6921
12,54.8718
13,52.6557
14,50.6916
15,49.5377
16,45.502
17,44.8926
18,48.6142
19,47.5932
20,46.3119
21,46.6085
22,43.8729
23,46.153
24,44.748
25,43.2568
26,48.4147
27,43.56511
28,49.0634
29,44.78
30,45.847
31,45.5137
32,45.6871
33,49.2631
34,48.1607
35,46.4382
36,44.7435
37,42.1935
38,40.5238
39,39.3474
40,39.5652
41,39.5433
42,40.617
43,43.2106
44,39.7798
45,39.585
46,39.6189
47,40.0038
48,40.6933
49,45.998
50,42.0211
51,42.1469
52,41.6045
53,41.3178
54,41.5589
55,39.9007
56,41.8882
57,49.8614
58,48.4429
59,44.9659
60,50.3858
61,43.4892
62,39.0058
63,40.755
64,40.477
65,38.1498
66,39.2969
67,40.2653
68,40.2928
69,41.0177
70,40.9143
71,40.2044
72,41.8553
73,44.316
74,41.3925
75,41.3786
76,41.4182
77,41.416
78,42.7556
79,43.3014
80,46.1106
81,47.0705
82,46.6361
83,43.1514
84,43.7087
85,41.0185
86,39.7899
87,40.4659
88,39.0573
89,39.8233
90,40.226
91,39.8423
92,38.8073
93,40.6787
94,39.592
95,40.1747
96,40.512
97,46.3503
98,45.1588
99,39.3064
100,41.8272
101,41.8198
102,41.6367
103,40.6086
104,46.3938
105,49.4792
106,48.4967
107,44.1669
108,41.9897
109,39.9954
110,40.2665
111,40.8994
112,40.2253
113,39.708
114,39.7342
115,38.9297
116,39.8334
117,40.9151
118,38.9807
119,40.528
120,42.7976
121,43.6217
122,40.6513
123,42.1389
124,40.7465
125,43.0618
126,40.1418
127,40.234
128,44.6987
129,48.3671
130,48.4662
131,45.857
132,43.9725
133,39.523
134,39.2395
135,39.9317
136,39.8687
137,40.1508
138,39.80161
139,42.5632
140,42.6691
141,41.5353
142,40.0291
143,41.4526
144,44.3665
145,44.8405
146,41.128
147,41.3322
148,42.9926
149,41.6607
150,39.9389
151,42.3942
152,46.7645
153,46.6048
154,45.32261
155,43.4262
156,47.4822
157,40.382
158,42.4958
159,39.8773
160,40.0894
161,41.3657
162,40.8264
163,42.1374
164,39.3255
165,39.3286
166,42.0749
167,44.6687
168,47.6678
169,43.9622
170,39.4498
171,40.9227
172,40.8131
173,45.4805
174,40.667
175,47.9263
176,47.2739
177,54.1713
178,45.4667
179,43.4365
180,47.7518
181,41.1426
182,39.8225
183,41.1129
184,41.87761
185,42.2315
186,41.2216
187,40.6675
188,39.9468
189,40.5625
190,41.5005
191,43.7971
192,44.1652
193,41.858
194,42.0324
195,42.2901
196,41.8505
197,42.6983
198,45.6143
199,46.0226
200,44.1149
201,45.8575
202,43.1932
203,47.6402
204,42.7664
205,39.959
206,40.6585
207,39.5294
208,39.5419
209,41.3167
210,40.2067
211,43.3308
212,47.4831
213,39.9202
214,41.9162
215,42.3811
216,41.6801
217,41.2112
218,41.8754
219,43.5185
220,42.1123
221,41.0158
222,46.5342
223,49.1101
224,47.24611
225,41.173
226,39.7389
227,42.1073
228,40.3463
229,42.7017
230,40.146
231,40.2415
232,40.5492
233,39.4873
234,39.6355
235,41.1576
236,39.6146
237,39.8394
238,41.2211
239,43.9679
240,43.0287
241,42.8656
242,43.5776
243,40.2434
244,40.4812
245,43.2371
246,48.8471
247,45.4932
248,45.7669
249,44.8364
250,40.4982
251,42.8545
252,40.9371
253,41.861
254,43.4571
255,41.7268
256,40.3495
257,41.357
258,41.7623
259,45.0073
260,38.8165
261,42.5762
262,42.5547
263,46.1742
264,40.6866
265,42.5427
266,40.4087
267,40.4574
268,42.0506
269,46.6577
270,48.37011
271,46.276
272,42.9981
273,39.1506
274,41.6195
275,43.0643
276,41.9497
277,40.2058
278,41.743
279,40.6718
280,42.0752
281,40.0309
282,40.9023
283,39.724
284,40.6293
285,41.1683
286,41.3934
287,42.71161
288,42.2827
289,40.7987
290,42.7581
291,40.828
292,39.8751
293,45.1931
294,44.6312
295,46.0006
296,45.4079
297,48.7069
298,39.3398
299,43.9386
