Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
0,1,0.3955,0
1,2,0.3582,0.395500004291534
2,3,0.3488,0.7537000477314
3,4,0.3311,1.10250005125999
4,5,0.3724,1.43360006809235
5,6,0.3732,1.80600008368492
6,7,0.3345,2.17920011281967
7,8,0.3292,2.51370012760162
8,9,0.3409,2.84290015697479
9,10,0.3321,3.18380016088486
10,11,0.3494,3.51590019464493
11,12,0.5275,3.86530020833015
12,13,0.5234001,4.39280024170876
13,14,0.3595,4.91620030999184
14,15,0.3307,5.27570033073425
15,16,0.3715,5.60640037059784
16,17,0.3342,5.97790038585663
17,18,0.3553,6.31210041046143
18,19,0.3745,6.66740041971207
19,20,0.3464,7.04190042614937
20,21,0.3305,7.38830044865608
21,22,0.339,7.7188004553318
22,23,0.316,8.05780047178268
23,24,0.4145,8.37380048632622
24,25,0.392,8.78830051422119
25,26,0.3574,9.18030053377151
26,27,0.3307,9.53770053386688
27,28,5.37,9.86840057373047
28,29,0.3611,15.2384009361267
29,30,0.3853,15.5995009541512
30,31,0.3709,15.9848009645939
31,32,0.3439,16.355700969696
32,33,0.3436,16.6996009945869
33,34,0.3276,17.0432010293007
34,35,0.3218,17.3708010613918
35,36,0.3494,17.6926010549068
36,37,0.3367,18.0420010685921
37,38,0.3711,18.3787010908127
38,39,0.3463,18.7498011291027
39,40,0.3157,19.0961011350155
40,41,0.3824,19.4118011593819
41,42,0.4034,19.7942011654377
42,43,0.4442,20.1976011693478
43,44,0.4264,20.6418012082577
44,45,0.3613,21.0682012140751
45,46,0.4721,21.4295012056828
46,47,0.4059,21.9016012251377
47,48,0.3844,22.3075012266636
48,49,0.4317,22.6919012367725
49,50,0.3759,23.1236012578011
50,51,0.4175,23.4995012581348
51,52,0.4354,23.9170012772083
52,53,0.4075,24.3524012863636
53,54,0.4253,24.7599013149738
54,55,0.4483,25.1852013170719
55,56,0.3989,25.6335013210773
56,57,0.4562,26.0324013233185
57,58,0.3965,26.4886013567448
58,59,5.493701,26.885101377964
59,60,1.1484,32.378801882267
60,61,0.4793,33.5272019505501
61,62,0.4814,34.0065019726753
62,63,0.7117,34.4879019856453
63,64,0.6122,35.1996020078659
64,65,0.617,35.8118020296097
65,66,0.5824,36.4288020730019
66,67,0.6036,37.0112020969391
67,68,0.5653,37.6148021221161
68,69,0.5035,38.1801021099091
69,70,0.6048,38.6836021542549
70,71,0.5692,39.2884021997452
71,72,0.5818,39.8576022386551
72,73,0.4385,40.439402282238
73,74,0.4511,40.8779022991657
74,75,0.524,41.3290023207664
75,76,0.565,41.8530023694038
76,77,0.5705,42.4180023670197
77,78,0.5409001,42.9885023832321
78,79,5.1064,43.5294024348259
79,80,0.3704,48.6358024477959
80,81,0.3572,49.0062024593353
81,82,0.3401,49.3634024858475
82,83,0.342,49.7035025060177
83,84,0.3355,50.0455025136471
84,85,0.4394,50.3810025155544
85,86,0.553,50.8204025328159
86,87,0.5307,51.3734025657177
87,88,0.5433,51.9041025936604
88,89,0.3854,52.447402626276
89,90,0.391,52.8328026533127
90,91,0.3845,53.2238026857376
91,92,0.3925,53.6083027124405
92,93,0.3548,54.0008027255535
93,94,0.3725,54.3556027412415
94,95,0.3475,54.728102773428
95,96,0.358,55.075602799654
96,97,0.3569,55.433602809906
97,98,0.346,55.7905028164387
98,99,0.3529,56.1365028321743
99,100,0.361,56.4894028306007
100,101,0.3633,56.8504028618336
101,102,0.3717,57.2137028574944
102,103,0.3507,57.5854028761387
103,104,0.3596,57.9361028969288
104,105,0.354,58.2957029342651
105,106,0.3516,58.6497029364109
106,107,0.3471,59.0013029575348
107,108,0.4429,59.3484029769897
108,109,0.4318,59.7913029789925
109,110,5.056201,60.2231029868126
110,111,0.5308,65.2793034911156
111,112,0.4843,65.8101034760475
112,113,0.5105,66.2944034934044
113,114,0.4143,66.8049035072327
114,115,0.478,67.2192035019398
115,116,0.4694,67.6972035169601
116,117,0.369,68.1666035354137
117,118,0.4871,68.5356035530567
118,119,0.5029,69.0227035880089
119,120,0.4635,69.5256035923958
120,121,0.4786,69.989103615284
121,122,0.5082,70.467703640461
122,123,0.4577,70.9759036898613
123,124,0.5762001,71.433603733778
124,125,0.5541,72.009803801775
125,126,0.5726,72.5639037787914
126,127,0.6113,73.1365037858486
127,128,0.6052001,73.7478037774563
128,129,0.5022,74.3530038297176
129,130,0.4845,74.8552038371563
130,131,0.4771,75.3397038578987
131,132,0.6878,75.8168038725853
132,133,6.252501,76.5046039223671
133,134,457.8839,82.7571044564247
134,135,128.5791,540.641046106815
135,136,54.8412,669.220147669315
136,137,43.8322,724.061349451542
137,138,42.1898,767.893552362919
138,139,45.10661,810.083356440067
139,140,43.2581,855.189961969852
140,141,41.0759,898.448064386845
141,142,43.6933,939.523965418339
142,143,45.541,983.21726757288
143,144,41.987,1028.75826793909
144,145,40.3377,1070.74527126551
145,146,39.6609,1111.08297115564
146,147,42.7629,1150.74387127161
147,148,40.07,1193.50677257776
148,149,40.604,1233.57677608728
149,150,39.0072,1274.18077617884
150,151,42.7616,1313.18797832727
151,152,40.0562,1355.94958263636
152,153,39.4737,1396.00578457117
153,154,42.2711,1435.47948604822
154,155,42.0061,1477.7505889535
155,156,42.3466,1519.75669246912
156,157,42.877,1562.10329586267
157,158,43.4951,1604.98029857874
158,159,43.4017,1648.47540050745
159,160,44.9289,1691.87710338831
160,161,40.4827,1736.80600506067
161,162,46.0195,1777.28870540857
162,163,40.4702,1823.308206141
163,164,45.4631,1863.77840572596
164,165,40.3454,1909.241509974
165,166,40.0686,1949.58691173792
166,167,45.4755,1989.65551525354
167,168,44.5431,2035.1310172677
168,169,43.587,2079.67411953211
169,170,43.2839,2123.26112133265
170,171,44.8336,2166.54502254725
171,172,42.3828,2211.37862545252
172,173,38.8112,2253.76142650843
173,174,39.4129,2292.57262569666
174,175,39.309,2331.98552471399
175,176,39.5419,2371.2945266366
176,177,38.7785,2410.83642727137
177,178,40.6587,2449.61493068933
178,179,42.01011,2490.27363353968
179,180,43.1473,2532.28373867273
180,181,41.2953,2575.43104320765
181,182,41.1738,2616.72634655237
182,183,39.7544,2657.90014797449
183,184,41.9144,2697.65455013514
184,185,41.409,2739.56895214319
185,186,42.5906,2780.97795253992
186,187,39.9301,2823.56855541468
187,188,44.566,2863.49865871668
188,189,43.8926,2908.06466060877
189,190,39.6739,2951.95726543665
190,191,47.5227,2991.6311660409
191,192,47.4694,3039.15386730433
192,193,44.5593,3086.62326961756
193,194,42.6697,3131.18257290125
194,195,42.7152,3173.85227352381
195,196,46.4388,3216.56747585535
196,197,38.7698,3263.00628048182
197,198,41.3103,3301.77608257532
198,199,41.4792,3343.0863853097
199,200,44.7258,3384.5655875802
200,201,40.6723,3429.29139095545
201,202,41.1329,3469.96369320154
202,203,40.7935,3511.09659343958
203,204,40.8624,3551.8900962472
204,205,41.5732,3592.75249630213
205,206,40.3848,3634.32569652796
206,207,41.3786,3674.71050029993
207,208,41.2672,3716.08910518885
208,209,40.2724,3757.35630565882
209,210,42.5713,3797.62870556116
210,211,41.5255,3840.20000988245
211,212,39.9615,3881.72551113367
212,213,40.8295,3921.68701320887
213,214,43.935,3962.51651531458
214,215,47.217,4006.45151668787
215,216,47.1493,4053.66851955652
216,217,46.409,4100.8178229928
217,218,43.5098,4147.22682338953
218,219,40.312,4190.7366271615
219,220,40.1998,4231.04862743616
220,221,40.168,4271.24842983484
221,222,39.4631,4311.41643291712
222,223,41.1378,4350.87953716516
223,224,41.1815,4392.01733928919
224,225,43.4687,4433.19884258509
225,226,41.9448,4476.66754299402
226,227,42.44,4518.61234432459
227,228,44.1531,4561.052346766
228,229,47.5793,4605.20544964075
229,230,43.3134,4652.78475338221
230,231,41.9366,4696.09815365076
231,232,41.1285,4738.0347571969
232,233,42.6174,4779.16325908899
233,234,46.04461,4821.78066021204
234,235,41.1814,4867.82526546717
235,236,41.1104,4909.00666576624
236,237,41.7416,4950.1170669198
237,238,53.9332,4991.85867077112
238,239,47.0905,5045.7918716073
239,240,48.1214,5092.88237529993
240,241,40.9813,5141.00377422571
241,242,38.2514,5181.98507839441
242,243,42.9423,5220.23647838831
243,244,40.401,5263.17878109217
244,245,40.289,5303.57978206873
245,246,39.9297,5343.86878353357
246,247,39.9116,5383.79848629236
247,248,39.7002,5423.71008831263
248,249,40.85711,5463.41029125452
249,250,40.1706,5504.26739650965
250,251,40.4593,5544.43800121546
251,252,43.1104,5584.89730221033
252,253,42.7866,5628.0077033639
