 Frame Index, Frame Time (ms)
1,45.75261
2,41.5897
3,40.7059
4,40.7403
5,40.7062
6,45.5477
7,49.018
8,45.4932
9,42.2373
10,40.4431
11,40.3035
12,41.3428
13,40.8043
14,40.1493
15,40.1818
16,41.9694
17,40.0436
18,40.3142
19,39.758
20,39.8443
21,39.6416
22,40.0825
23,40.3335
24,39.6021
25,40.3173
26,40.68361
27,40.3403
28,40.1549
29,40.0141
30,40.5503
31,41.6475
32,39.5853
33,40.4057
34,39.725
35,40.1232
36,40.3577
37,39.8626
38,41.1622
39,40.0872
40,40.342
41,41.8582
42,39.4803
43,39.5605
44,40.353
45,39.7176
46,42.0962
47,40.5827
48,40.1369
49,40.3426
50,41.054
51,40.4831
52,40.7921
53,40.2027
54,41.3324
55,46.4688
56,42.1188
57,40.5341
58,40.9403
59,41.9009
60,40.5344
61,39.8746
62,40.656
63,41.5993
64,39.9516
65,39.746
66,43.076
67,41.3039
68,40.703
69,40.4992
70,39.8927
71,40.5539
72,40.3084
73,39.8364
74,39.9693
75,40.9534
76,39.9373
77,41.3684
78,46.0266
79,47.3872
80,40.846
81,44.498
82,40.8295
83,40.8949
84,40.344
85,40.8687
86,40.5502
87,42.6471
88,39.9038
89,40.0407
90,41.2353
91,40.6572
92,40.5511
93,40.0996
94,39.7555
95,40.7821
96,40.9286
97,40.8283
98,40.2582
99,40.0216
100,40.6219
101,40.8633
102,40.1476
103,40.3009
104,40.0673
105,40.2984
106,40.6816
107,40.9102
108,40.3384
109,42.7608
110,40.7366
111,43.1313
112,40.5547
113,40.3243
114,40.6246
115,39.8683
116,42.4235
117,40.5485
118,41.1024
119,40.321
120,40.05861
121,40.27361
122,40.6594
123,41.0462
124,42.1063
125,40.4263
126,40.1712
127,40.6726
128,40.1776
129,40.169
130,40.928
131,41.3358
132,40.6555
133,40.8847
134,41.2711
135,43.8957
136,40.7979
137,41.6214
138,40.2725
139,40.5518
140,40.5111
141,40.2364
142,40.1563
143,40.4381
144,40.606
145,40.6662
146,40.4737
147,42.3667
148,40.3877
149,44.3758
150,43.341
151,43.0008
152,44.1404
153,42.8665
154,43.8617
155,44.9505
156,43.0873
157,41.3522
158,40.5072
159,44.1821
160,40.239
161,40.4867
162,39.7632
163,42.6449
164,43.2639
165,40.8323
166,40.7865
167,39.9064
168,41.90561
169,42.2348
170,42.1027
171,40.7732
172,41.0442
173,44.014
174,41.271
175,41.7219
176,42.8705
177,40.7951
178,40.9375
179,40.5716
180,40.5167
181,40.3414
182,40.4954
183,39.4931
184,40.4905
185,41.5155
186,43.0768
187,40.489
188,41.0162
189,47.082
190,43.4381
191,40.3925
192,40.0591
193,41.1945
194,40.716
195,40.2236
196,40.4773
197,39.6408
198,40.773
199,40.3987
200,39.5244
201,41.109
202,40.3056
203,39.5783
204,40.61
205,39.7397
206,39.6007
207,40.9904
208,40.5156
209,39.3595
210,40.9431
211,40.1936
212,40.0767
213,39.6699
214,42.045
215,40.7572
216,40.0734
217,39.8521
218,40.2825
219,39.4823
220,40.4988
221,41.1216
222,40.3659
223,40.8624
224,41.4462
225,41.9509
226,41.6255
227,40.5565
228,40.8317
229,40.5937
230,39.656
231,40.1894
232,40.2201
233,40.1803
234,40.4717
235,40.7115
236,40.3482
237,40.0459
238,40.5956
239,40.9203
240,41.0886
241,41.1067
242,43.3293
243,40.4434
244,40.96811
245,39.7198
246,39.9217
247,40.55861
248,40.087
249,40.4787
250,40.2562
251,45.5173
252,41.7855
253,42.4709
254,42.9335
255,41.4943
256,40.4997
257,41.1007
258,40.1803
259,40.1685
260,40.703
261,40.2944
262,40.3343
263,46.1726
264,40.01011
265,40.6991
266,39.4878
267,42.5966
268,39.9427
269,39.7263
270,40.1941
271,40.2258
272,41.0341
273,40.1984
274,40.4496
275,40.5133
276,42.9329
277,40.2057
278,40.6192
279,40.6005
280,40.6052
281,40.0433
282,41.3193
283,42.7685
284,41.6155
285,39.9987
286,40.6489
287,39.9604
288,41.4293
289,39.9501
290,41.1659
291,40.3717
292,40.9137
293,42.89
294,40.0438
295,40.0072
296,41.1812
297,39.7927
298,40.5315
299,40.2898
