Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
0,1,0.3714,0
1,2,0.4261,0.371399998664856
2,3,0.4204,0.797500014305115
3,4,0.4322,1.2179000377655
4,5,0.3713,1.65010008215904
5,6,0.3542,2.02140009403229
6,7,0.4499,2.37560012936592
7,8,0.3881,2.82550013065338
8,9,0.4807,3.21360015869141
9,10,5.9399,3.69430020451546
10,11,0.454,9.63420060276985
11,12,0.4026,10.0882006287575
12,13,0.3892,10.4908006489277
13,14,0.4127,10.880000680685
14,15,0.4528,11.2927007079124
15,16,0.6077,11.7455007135868
16,17,0.6281,12.353200763464
17,18,0.5444,12.9813007414341
18,19,0.5523,13.5257007777691
19,20,0.5324001,14.0780008137226
20,21,0.5482,14.6104008853436
21,22,0.6056,15.1586008965969
22,23,0.5668,15.7642008960247
23,24,0.5613,16.3310008943081
24,25,0.5065,16.8923009335995
25,26,0.6872001,17.3988009393215
26,27,0.7251,18.086001008749
27,28,0.4995,18.8111009895802
28,29,0.4492,19.3106010258198
29,30,0.5146,19.7598010599613
30,31,6.2415,20.2744010388851
31,32,1.5139,26.5159014165401
32,33,1.1404,28.0298014581203
33,34,1.3743,29.170201510191
34,35,0.8901,30.544501632452
35,36,0.7496,31.4346016347408
36,37,0.4585,32.1842016279697
37,38,0.74,32.6427016556263
38,39,0.5614001,33.382701665163
39,40,0.6918,33.9441017210484
40,41,0.5713,34.6359017193317
41,42,0.5903,35.2072017490864
42,43,0.5749,35.7975017726421
43,44,1.3553,36.3724018037319
44,45,5.3395,37.7277018725872
45,46,1.0753,43.0672022998333
46,47,0.5921,44.1425023972988
47,48,0.4741,44.7346024215221
48,49,0.3914,45.2087024450302
49,50,0.356,45.6001024544239
50,51,0.3855,45.9561024606228
51,52,0.3813,46.3416024744511
52,53,0.3673,46.7229024767876
53,54,0.3739,47.0902024805546
54,55,0.3975,47.4641025066376
55,56,0.3843,47.8616025149822
56,57,0.3547,48.2459025084972
57,58,0.3442,48.6006025373936
58,59,0.4765,48.9448025524616
59,60,0.4646,49.4213025867939
60,61,0.4509,49.8859026134014
61,62,0.4711,50.3368026316166
