 Frame Index, Frame Time (ms)
1,43.3457
2,45.3742
3,39.7099
4,41.3942
5,43.7939
6,43.0272
7,43.8605
8,44.0097
9,44.4833
10,40.3308
11,39.9818
12,42.1315
13,40.1165
14,45.2406
15,42.4482
16,42.1203
17,42.5305
18,42.8647
19,40.0503
20,44.5195
21,42.1765
22,44.5684
23,40.2287
24,42.6599
25,41.8665
26,40.37811
27,42.4031
28,43.3078
29,41.4352
30,41.9677
31,41.8419
32,47.9223
33,42.1169
34,42.6125
35,42.2139
36,45.5028
37,43.0976
38,44.5002
39,39.9414
40,42.3529
41,41.503
42,40.5569
43,42.4035
44,42.8379
45,42.7997
46,40.0428
47,42.8247
48,42.2685
49,41.6092
50,40.6254
51,40.123
52,41.6536
53,41.208
54,41.9768
55,41.111
56,44.0641
57,40.7056
58,39.8849
59,46.6083
60,45.3216
61,43.0358
62,42.2183
63,41.9809
64,41.3449
65,44.1531
66,42.7512
67,43.5495
68,44.9462
69,41.8446
70,44.5088
71,41.2063
72,41.4008
73,43.8683
74,39.5059
75,41.8199
76,42.148
77,41.9159
78,39.6747
79,42.177
80,42.0885
81,41.5672
82,40.7927
83,43.2841
84,41.1978
85,42.6551
86,39.9198
87,40.9619
88,41.7814
89,40.4024
90,40.4571
91,41.3024
92,40.7162
93,40.0711
94,43.45411
95,41.3271
96,44.033
97,42.6322
98,50.5524
99,43.2482
100,43.0156
101,45.7688
102,43.9757
103,40.7621
104,42.1048
105,42.446
106,40.4116
107,39.9154
108,46.1243
109,41.2144
110,42.3198
111,42.0724
112,42.8453
113,42.6731
114,42.7732
115,48.465
116,43.35711
117,44.4163
118,41.64861
119,39.848
120,44.9417
121,44.8479
122,40.0345
123,42.349
124,42.0128
125,50.7873
126,47.3093
127,41.6477
128,49.1329
129,42.0011
130,40.3155
131,44.1125
132,48.6384
133,45.41261
134,44.6004
135,43.2789
136,43.3742
137,43.1525
138,42.03
139,48.44061
140,43.1064
141,46.3158
142,40.6935
143,40.309
144,45.0664
145,43.2463
146,43.9749
147,40.97
148,43.893
149,41.6214
150,45.2749
151,42.9986
152,41.9979
153,44.8166
154,46.345
155,42.8752
156,42.6553
157,47.7821
158,44.02361
159,41.7784
160,46.9815
161,42.8858
162,40.2569
163,39.6419
164,41.8545
165,40.6526
166,42.1978
167,40.1208
168,45.273
169,43.737
170,41.0189
171,40.7129
172,42.8665
173,40.221
174,43.5913
175,39.8173
176,41.8541
177,41.7737
178,39.5387
179,42.2508
180,41.7696
181,42.2757
182,43.4329
183,40.6476
184,43.5051
185,49.0543
186,44.6978
187,42.1788
188,43.0379
189,40.5032
190,40.1492
191,40.8283
192,42.6437
193,40.4677
194,44.7908
195,40.4989
196,41.5421
197,40.5557
198,39.7044
199,41.9701
200,43.2522
201,41.8536
202,43.5081
203,44.3489
204,41.1478
205,41.7482
206,46.005
207,40.6279
208,45.0646
209,39.8172
210,41.3172
211,40.7124
212,41.4032
213,41.1166
214,42.2368
215,39.9973
216,47.5315
217,40.3744
218,42.3213
219,42.2894
220,42.3292
221,43.4249
222,44.7603
223,40.4325
224,43.6896
225,43.2646
226,39.5486
227,40.5941
228,46.4357
229,39.7746
230,40.9487
231,40.0191
232,40.993
233,40.3592
234,40.3996
235,39.9499
236,41.5401
237,39.7406
238,40.1481
239,40.3006
240,43.8936
241,40.148
242,45.0523
243,42.8585
244,43.9871
245,43.7123
246,44.667
247,39.7662
248,43.8787
249,40.3975
250,41.7918
251,40.8527
252,41.8664
253,41.7923
254,43.0573
255,46.0935
256,43.7673
257,39.9028
258,40.6394
259,40.1877
260,40.9142
261,43.129
262,40.9667
263,40.4484
264,46.6872
265,39.6856
266,41.631
267,43.1265
268,43.3438
269,45.2395
270,40.3377
271,40.1293
272,41.5921
273,42.2507
274,41.1455
275,40.157
276,41.6229
277,41.6179
278,42.8468
279,44.0364
280,44.4299
281,45.7029
282,43.5901
283,44.9348
284,42.6615
285,41.8753
286,43.4386
287,42.3466
288,45.594
289,41.5085
290,41.3625
291,44.6625
292,41.4143
293,44.3381
294,43.0286
295,44.153
296,46.9166
297,45.6548
298,43.3934
299,48.8941
