Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
0,1,0.4068,0
1,2,0.4236,0.406800001859665
2,3,0.4712,0.83040001988411
3,4,0.3667,1.3016000688076
4,5,0.3383,1.66830009222031
5,6,0.4083,2.00660008192062
6,7,0.4697,2.41490009427071
7,8,0.4547,2.88460013270378
8,9,0.4392,3.33930015563965
9,10,0.3816,3.77850019931793
10,11,0.3254,4.16010022163391
11,12,3.8741,4.48550021648407
12,13,0.5738,8.35960042476654
13,14,0.4676,8.93340045213699
14,15,0.4624,9.40100046992302
15,16,0.4657,9.86340048909187
16,17,0.4817,10.3291005194187
17,18,0.4845,10.8108005523682
18,19,0.47,11.2953005731106
19,20,0.4441,11.7653006017208
20,21,0.5039,12.2094006240368
21,22,0.4486,12.7133006155491
22,23,0.4261,13.161900639534
23,24,0.3876,13.5880006551743
24,25,0.3859,13.9756006896496
25,26,0.4649,14.3615007102489
26,27,0.4496,14.8264007270336
27,28,0.5005,15.2760007679462
28,29,0.7691,15.7765007913113
29,30,0.9123001,16.5456008017063
30,31,1.3451,17.457900851965
31,32,0.532,18.8030008971691
32,33,0.5611,19.3350009024143
33,34,0.5941,19.8961009085178
34,35,0.5634,20.490200906992
35,36,0.4976,21.0536009371281
36,37,3.4787,21.5512009561062
37,38,0.6239001,25.0299011170864
38,39,0.5263,25.6538011729717
39,40,0.5190001,26.1801011860371
40,41,0.5277001,26.6991012394428
41,42,0.6183,27.2268013060093
42,43,0.5875,27.845101326704
43,44,0.4707,28.4326013624668
44,45,0.478,28.9033013880253
45,46,0.5606,29.3813014030457
46,47,0.4744,29.9419013857841
47,48,0.5411,30.4163013994694
48,49,0.5654001,30.9574014246464
49,50,0.5296,31.5228014886379
50,51,0.5295,32.0524015128613
51,52,0.5051,32.5819015204906
52,53,0.4732,33.0870015323162
53,54,0.5359001,33.5602015554905
54,55,0.5063,34.0961016118526
55,56,0.5483,34.6024016439915
56,57,0.6217,35.1507016718388
57,58,0.5736,35.7724017202854
58,59,0.5859001,36.346001714468
59,60,0.5309001,36.9319017827511
60,61,0.6842,37.4628018438816
61,62,0.7347,38.1470018923283
62,63,2.7745,38.8817019164562
63,64,0.5752,41.6562020480633
64,65,0.6376,42.2314020693302
65,66,0.6315,42.8690020740032
66,67,0.5077,43.5005020797253
67,68,0.5074,44.0082021057606
68,69,0.48,44.5156021416187
69,70,0.474,44.9956021606922
70,71,0.4798,45.4696021974087
71,72,0.5314,45.9494022130966
72,73,0.5777,46.4808022379875
73,74,0.6748,47.0585022568703
74,75,0.5444,47.733302295208
75,76,0.5372,48.277702331543
76,77,0.6784,48.8149023652077
77,78,0.7819,49.4933024048805
78,79,0.5318,50.2752024531364
79,80,0.5931,50.8070024847984
80,81,0.6167001,51.4001024961472
81,82,0.6047,52.0168025493622
82,83,0.5244001,52.6215025782585
83,84,0.4925,53.145902633667
84,85,0.7411,53.6384026706219
85,86,0.5454,54.3795026838779
86,87,3.4255,54.9249027073383
87,88,0.6531,58.3504028618336
88,89,0.3649,59.0035028755665
89,90,0.3649,59.3684028983116
90,91,0.3604,59.7333029210567
91,92,0.3669,60.093702942133
92,93,0.369,60.4606029391289
93,94,0.3641,60.8296029567719
94,95,0.3647,61.1937029659748
95,96,0.3732,61.5584029853344
96,97,0.4177,61.9316030144691
97,98,0.5143,62.3493030369282
98,99,0.596,62.8636030256748
99,100,0.4431,63.4596030414104
100,101,0.6863,63.902703076601
101,102,0.5988,64.5890031158924
102,103,0.3612,65.187803119421
103,104,0.3612,65.5490031540394
104,105,0.3569,65.9102031886578
105,106,0.4484,66.2671031951904
106,107,0.5343,66.7155032157898
107,108,0.4821,67.2498032450676
108,109,0.5176,67.7319032847881
109,110,0.49,68.2495032846928
110,111,0.5356,68.7395032942295
111,112,0.5422,69.2751033008099
112,113,0.5276,69.8173033297062
113,114,0.4215,70.3449033200741
114,115,0.6362001,70.7664033472538
115,116,3.8715,71.402603417635
116,117,1.3539,75.2741036713123
117,118,104.9803,76.6280037462711
118,119,48.7595,181.608304649591
119,120,47.3793,230.36780706048
120,121,49.4259,277.747110038996
121,122,53.93261,327.173009544611
122,123,43.995,381.105615288019
123,124,47.5352,425.100618034601
124,125,51.0233,472.635820060968
125,126,42.5568,523.659124046564
126,127,44.7467,566.215928703547
127,128,45.2218,610.962628990412
128,129,45.7299,656.184430748224
129,130,43.2959,701.914331108332
130,131,59.171,745.210233360529
131,132,56.80861,804.381234794855
132,133,60.90331,861.189839988947
133,134,55.093,922.093145042658
134,135,48.2513,977.186147361994
135,136,46.7936,1025.43745198846
136,137,47.6245,1072.2310539782
137,138,51.5857,1119.85555806756
138,139,46.4431,1171.44125905633
139,140,49.6785,1217.88436284661
140,141,43.5473,1267.56286397576
141,142,44.5966,1311.11016622186
142,143,48.9187,1355.70676961541
143,144,45.0194,1404.62547078729
144,145,40.1003,1449.64487233758
145,146,41.7882,1489.74517598748
146,147,43.0023,1531.5333763659
147,148,40.1301,1574.53568044305
148,149,45.7425,1614.66578450799
149,150,42.9899,1660.40828481317
150,151,50.474,1703.39818349481
151,152,41.9059,1753.87218633294
152,153,44.6729,1795.77808538079
153,154,44.8885,1840.45098653436
154,155,47.7357,1885.33949056268
155,156,46.3622,1933.07519307733
156,157,45.3473,1979.437394768
157,158,51.5548,2024.78469625115
158,159,51.8199,2076.33949819207
159,160,46.6109,2128.15939870477
160,161,46.9446,2174.77029958367
161,162,45.723,2221.71490254998
162,163,50.8812,2267.43790593743
163,164,41.8723,2318.31910863519
164,165,47.7372,2360.19141164422
165,166,49.3597,2407.92861333489
166,167,42.6075,2457.28831639886
167,168,44.2825,2499.8958183825
168,169,47.7793,2544.1783196032
169,170,43.3569,2591.9576241076
170,171,40.7198,2635.31452336907
171,172,53.0853,2676.03432622552
172,173,42.8186,2729.11963048577
173,174,43.0608,2771.9382340014
174,175,58.4542,2814.99903646111
175,176,41.8515,2873.45323720574
176,177,43.2828,2915.30473867059
177,178,48.5958,2958.58754125237
178,179,43.9697,3007.1833435595
179,180,43.5347,3051.15304341912
180,181,48.8901,3094.68774572015
181,182,49.7016,3143.57784810662
182,183,48.5016,3193.27945104241
183,184,41.4659,3241.78105321527
184,185,47.1452,3283.24695363641
185,186,44.9558,3330.39215627313
186,187,46.3841,3375.34795919061
187,188,43.2855,3421.73206105828
188,189,41.0997,3465.01756444573
189,190,43.7216,3506.11726537347
190,191,47.3687,3549.83886876702
191,192,51.0345,3597.20757070184
192,193,41.5153,3648.24207463861
193,194,53.1397,3689.75737920403
194,195,42.7016,3742.8970810473
195,196,40.729,3785.59868398309
196,197,46.1266,3826.32768407464
197,198,52.4135,3872.45428624749
198,199,51.1802,3924.86778798699
199,200,44.7301,3976.04799047112
200,201,46.3913,4020.77809301019
201,202,44.2045,4067.1693970263
202,203,45.5299,4111.37389913201
203,204,49.0284,4156.90379872918
204,205,40.694,4205.93219915032
