Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
0,1,0.5417001,0
1,2,0.5051,0.541700065135956
2,3,0.4379,1.04680007696152
3,4,0.4603,1.48470008373261
4,5,0.4397,1.94500008225441
5,6,0.4423,2.38470011949539
6,7,0.4833,2.8270001411438
7,8,0.4055,3.31030014157295
8,9,0.4635,3.71580016613007
9,10,0.3903,4.17930018901825
10,11,3.9883,4.56960019469261
11,12,1.1611,8.55790051817894
12,13,0.5123,9.71900054812431
13,14,0.5392001,10.2313005626202
14,15,0.5527,10.7705006301403
15,16,0.6432,11.3232006728649
16,17,0.6074001,11.9664007127285
17,18,0.5788,12.5738007724285
18,19,0.5786,13.1526007950306
19,20,0.5999001,13.7312007844448
20,21,0.5384001,14.3311008512974
21,22,0.5642,14.8695009052753
22,23,0.4512,15.4337009489536
23,24,0.4863,15.8849009871483
24,25,0.509,16.3712010085583
25,26,0.4626,16.8802010118961
26,27,0.432,17.3428010344505
27,28,0.364,17.7748010456562
28,29,0.3605,18.1388010680676
29,30,0.3738,18.4993010759354
30,31,0.3682,18.8731010854244
31,32,0.3556,19.2413011193275
32,33,0.3803,19.5969011485577
33,34,0.3507,19.9772011637688
34,35,0.3821,20.3279011845589
35,36,0.3555,20.7100012004375
36,37,0.35,21.0655012130737
37,38,3.467,21.4155012369156
38,39,0.3858,24.8825014829636
39,40,0.3434,25.268301486969
40,41,0.3844,25.6117014884949
41,42,0.3908,25.9961014986038
42,43,0.3438,26.3869014978409
43,44,0.4118,26.7307015061378
44,45,0.5298,27.1425015032291
45,46,0.4442,27.6723015010357
46,47,0.4522,28.1165015399456
47,48,0.3605,28.5687015652657
48,49,0.3442,28.9292015731335
49,50,0.342,29.2734015882015
50,51,0.333,29.6154015958309
51,52,0.3666,29.9484016001225
52,53,0.3878,30.3150016367435
53,54,0.4562,30.7028016448021
54,55,0.3802,31.1590016782284
55,56,0.3317,31.5392017066479
56,57,0.3346,31.8709017336369
57,58,0.3265,32.2055017650127
58,59,0.3303,32.5320017933846
59,60,0.3291,32.8623017966747
60,61,0.3235,33.191401809454
61,62,0.3518,33.5149018168449
62,63,0.3362,33.866701811552
63,64,0.3257,34.20290184021
64,65,0.3262,34.5286018550396
65,66,0.3233,34.8548018932343
66,67,0.3246,35.1781018972397
67,68,0.326,35.50270190835
68,69,0.3204,35.8287019133568
69,70,0.3818,36.1491019129753
70,71,0.4098,36.5309019088745
71,72,0.3684,36.9407019019127
72,73,0.3428,37.309101909399
73,74,0.3442,37.6519019007683
74,75,3.4556,37.9961019158363
75,76,0.3314,41.4517021775246
76,77,0.3515,41.7831021845341
77,78,0.3196,42.134602189064
78,79,0.3088,42.4542022049427
79,80,0.3383,42.7630022168159
80,81,0.4359,43.1013022065163
81,82,0.4186,43.5372022092342
82,83,0.4906,43.9558022320271
83,84,0.3942,44.4464022517204
84,85,0.48,44.8406022787094
85,86,0.4109,45.3206022977829
86,87,0.4519,45.7315023243427
87,88,0.4551,46.1834023296833
88,89,0.4194,46.6385023593903
89,90,0.4735,47.0579023659229
90,91,0.4809,47.5314023792744
91,92,0.473,48.0123023986816
92,93,0.4822,48.4853024184704
93,94,0.4621,48.9675024449825
94,95,0.4803,49.4296024739742
95,96,0.4618,49.9099024832249
96,97,0.4499,50.3717024922371
97,98,0.5211,50.8216024935246
98,99,0.5055,51.3427024781704
99,100,0.5383,51.848202496767
100,101,0.4913,52.3865025341511
101,102,0.4464,52.8778025507927
102,103,0.4804,53.3242025673389
103,104,0.4329,53.8046025931835
104,105,0.4799,54.237502604723
105,106,4.2074,54.7174026072025
106,107,0.9254001,58.924802929163
107,108,0.599,59.8502030074596
108,109,0.5679001,60.4492030441761
109,110,0.5686,61.0171031057835
110,111,0.4732,61.5857031047344
111,112,0.485,62.0589031279087
112,113,0.4805,62.5439031422138
113,114,0.4999,63.02440315485
114,115,0.5914,63.5243031680584
115,116,0.6128,64.1157031953335
116,117,0.9384001,64.7285031974316
117,118,114.5211,65.6669032871723
118,119,41.6929,180.18801382184
119,120,34.6155,221.880915433168
120,121,43.6765,256.496416836977
121,122,49.9598,300.17291906476
122,123,48.659,350.132723599672
123,124,45.332,398.791727811098
124,125,49.84,444.12372854352
125,126,33.7625,493.963732510805
126,127,45.8548,527.726233273745
127,128,46.236,573.581034451723
128,129,48.5636,619.817038327456
129,130,43.0324,668.380640774965
130,131,36.3905,711.41304281354
131,132,33.8122,747.803545743227
132,133,43.4738,781.61574819684
133,134,42.3036,825.089552670717
134,135,45.2337,867.393156796694
135,136,43.513,912.626856595278
136,137,39.0767,956.139857083559
137,138,46.1195,995.216559201479
138,139,42.7679,1041.33606222272
139,140,41.8202,1084.10396459699
140,141,36.3767,1125.92416647077
141,142,38.5874,1162.30086782575
142,143,43.785,1200.8882663548
143,144,39.8567,1244.67327001691
144,145,47.0496,1284.52997091413
145,146,41.6459,1331.57957342267
146,147,44.2458,1373.22547414899
147,148,49.0486,1417.471277982
148,149,40.3836,1466.51988103986
149,150,40.5618,1506.90348318219
150,151,39.272,1547.46528509259
151,152,41.03811,1586.73728826642
152,153,44.2992,1627.77539327741
153,154,45.1249,1672.07459524274
154,155,43.1264,1717.19949606061
155,156,43.4992,1760.32589605451
156,157,39.7984,1803.82509878278
157,158,37.1458,1843.62349966168
158,159,45.3733,1880.76930120587
159,160,43.5229,1926.14260366559
160,161,40.9869,1969.66550329328
161,162,43.4743,2010.65240362287
162,163,52.8989,2054.12670782208
163,164,48.9675,2107.02560690045
164,165,37.2224,2155.99310949445
165,166,41.577,2193.21551015973
166,167,41.0228,2234.79251363873
167,168,41.0209,2275.81531789899
168,169,42.9566,2316.83621862531
169,170,41.5514,2359.79282262921
170,171,41.91311,2401.34422186017
171,172,47.8909,2443.25732687116
172,173,40.8664,2491.14822652936
173,174,44.7849,2532.01462820172
174,175,41.8172,2576.79952886701
175,176,40.4242,2618.61672857404
176,177,39.919,2659.04093053937
177,178,44.2274,2698.95993307233
178,179,40.7556,2743.18733480573
179,180,43.3577,2783.94293859601
180,181,40.6711,2827.30063894391
181,182,43.1063,2867.97174337506
182,183,41.0876,2911.07804754376
183,184,44.0464,2952.16565206647
184,185,39.9117,2996.21205404401
