Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
0,1,0.4132,0
1,2,0.4128,0.4132000207901
2,3,0.3374,0.826000034809113
3,4,3.6475,1.16340005397797
4,5,0.3506,4.81090033054352
5,6,0.3353,5.16150036454201
6,7,0.3696,5.49680036306381
7,8,0.3082,5.86640039086342
8,9,0.3525,6.17460042238235
9,10,0.3402,6.52710044384003
10,11,0.3277,6.86730048060417
11,12,0.3159,7.19500049948692
12,13,0.3647,7.51090049743652
13,14,0.3199,7.87560051679611
14,15,0.3108,8.19550052285194
15,16,0.3318,8.50630053877831
16,17,0.3214,8.8381005525589
17,18,0.3379,9.15950056910515
18,19,0.3142,9.4974005818367
19,20,0.3197,9.81160059571266
20,21,0.5017,10.1313006281853
21,22,0.3295,10.6330006718636
22,23,0.3433,10.9625006914139
23,24,0.3493,11.3058007061481
24,25,0.3372,11.6551007032394
25,26,0.3387,11.9923007190228
26,27,0.3354,12.3310007452965
27,28,0.3526,12.6664007604122
28,29,0.3228,13.0190007686615
29,30,0.3292,13.3418007791042
30,31,0.3166,13.6710008084774
31,32,0.3109,13.9876008331776
32,33,0.3309,14.2985008358955
33,34,0.3131,14.6294008493423
34,35,0.296,14.942500859499
35,36,0.3164,15.2385008633137
36,37,0.3073,15.5549008846283
37,38,0.3038,15.8622008860111
38,39,0.3057,16.1660009026527
39,40,0.3052,16.4717009365559
40,41,0.3599,16.7769009768963
41,42,0.2977,17.1368009746075
42,43,0.419,17.4345009922981
43,44,3.7065,17.853501021862
44,45,0.4788,21.5600013136864
45,46,0.4232,22.0388013124466
46,47,0.4278,22.4620013535023
47,48,0.4703,22.8898013532162
48,49,0.475,23.3601013720036
49,50,0.4981,23.8351013958454
50,51,0.5984001,24.3332014381886
51,52,0.4885,24.9316014945507
52,53,0.5575,25.4201015233994
53,54,0.4336,25.9776015281677
54,55,0.462,26.4112015664577
55,56,0.3952,26.8732015788555
56,57,0.5118,27.2684016227722
57,58,0.4277,27.780201613903
58,59,0.5826,28.2079016566277
59,60,0.4925,28.7905016541481
60,61,0.4862,29.283001691103
61,62,0.5373,29.7692017257214
62,63,0.4796,30.3065017163754
63,64,0.4942,30.7861017584801
64,65,0.4962,31.2803017795086
65,66,0.4041,31.7765018045902
66,67,0.6162,32.1806018352509
67,68,0.4959,32.7968018651009
68,69,1.3897,33.292701870203
69,70,3.6618,34.6824019253254
70,71,0.6188,38.3442020714283
71,72,0.4792,38.9630021154881
72,73,0.4516,39.4422021508217
73,74,0.4116,39.8938021659851
74,75,0.4807,40.3054021894932
75,76,0.4307,40.7861022353172
76,77,0.5082,41.2168022692204
77,78,0.4751,41.7250023186207
78,79,0.4199,42.2001023590565
79,80,0.4202,42.6200023591518
80,81,0.4511,43.0402023792267
81,82,0.4631,43.4913024008274
82,83,0.4685,43.9544024169445
83,84,0.5176,44.4229024350643
84,85,0.4999,44.9405024349689
85,86,0.4526,45.4404024481773
86,87,0.4927,45.8930024802685
87,88,0.4815,46.3857025206089
88,89,0.4982,46.8672025501728
89,90,0.5955001,47.3654025793076
90,91,0.6803,47.9609026312828
91,92,0.6079001,48.6412026286125
92,93,0.6396,49.2491027116776
93,94,0.7162001,49.8887026906013
94,95,0.6112,50.6049027442932
95,96,0.5676,51.2161027789116
96,97,3.299,51.7837027907372
97,98,0.721,55.0827030539513
98,99,0.5916,55.8037030696869
99,100,0.5729001,56.3953030705452
100,101,0.6932001,56.9682031273842
101,102,0.7953,57.6614031791687
102,103,0.5383,58.4567031860352
103,104,0.5522,58.9950032234192
104,105,0.6105,59.5472032427788
105,106,0.5489001,60.1577032804489
106,107,0.5496,60.7066033482552
107,108,0.565,61.256203353405
108,109,0.5453,61.8212033510208
109,110,0.5136,62.3665033578873
110,111,0.7327,62.8801033496857
111,112,0.7723,63.6128033995628
112,113,0.6691,64.3851034045219
113,114,0.5499001,65.0542033910751
114,115,0.5412,65.6041034460068
115,116,0.5573,66.1453034877777
116,117,0.5916,66.7026035189629
117,118,0.549,67.2942035198212
118,119,0.5397,67.8432035446167
119,120,4.0278,68.3829035758972
120,121,169.6085,72.4107036590576
121,122,42.2498,242.019208908081
122,123,40.7759,284.269010543823
123,124,39.2611,325.044912338257
124,125,43.0573,364.306016921997
125,126,41.2087,407.363321304321
126,127,50.9038,448.572023391724
127,128,43.0439,499.475828170776
128,129,44.8735,542.519727706909
129,130,45.4448,587.393228530884
130,131,44.72461,632.83802986145
131,132,47.9763,677.562635421753
132,133,50.8847,725.538938522339
133,134,44.8714,776.423639297485
134,135,44.2081,821.295038223267
135,136,49.0671,865.503141403198
136,137,40.9593,914.570245742798
137,138,41.3757,955.529546737671
138,139,40.4223,996.905248641968
139,140,37.7573,1037.32755088806
140,141,38.3968,1075.08485221863
141,142,40.507,1113.4816532135
142,143,39.0224,1153.98865699768
143,144,37.8499,1193.01105690002
144,145,42.1875,1230.86095619202
145,146,41.5697,1273.04846000671
146,147,45.5461,1314.61816215515
147,148,53.8521,1360.1642665863
148,149,43.2168,1414.01637077332
149,150,47.2011,1457.23317527771
150,151,49.0264,1504.43427848816
151,152,50.10711,1553.46068000793
152,153,42.9615,1603.56778526306
153,154,47.13411,1646.52928733826
154,155,47.1223,1693.66339302063
155,156,46.8213,1740.78569602966
156,157,41.7085,1787.60700035095
157,158,43.2783,1829.3155040741
158,159,42.958,1872.59380531311
159,160,41.5469,1915.55180549622
160,161,41.5784,1957.0987071991
161,162,38.3577,1998.6771068573
162,163,41.7142,2037.0348072052
163,164,39.0842,2078.74901008606
164,165,38.8666,2117.8332118988
